"Municipio","Total"
"Hermosillo","38580"
"Cajeme","16529"
"San Luis Rio Colorado","11768"
"Nogales","9084"
"Navojoa","3840"
"Guaymas","3541"
"Agua Prieta","2373"
"Caborca","2199"
"Puerto Peñasco","2117"
"Empalme","1020"
"Etchojoa","867"
"Huatabampo","703"
"Magdalena","496"
"Bacum","435"
"Cananea","377"
"Benito Juarez","237"
"Imuris","149"
"San Ignacio Rio Muerto","148"
"Santa Ana","118"
"San Miguel de Horcasitas","69"
"Alamos","66"
"Benjamin Hill","45"
"Altar","44"
"Naco","38"
"Ures","24"
"Fronteras","21"
"Pitiquito","16"
"Plutarco Elias Calles","14"
"Nacozari de Garcia","11"
"Bavispe","9"
"Carbo","9"
"Santa Cruz","9"
"Opodepe","6"
"Cumpas","5"
"Rayon","5"
"Yecora","4"
"Sahuaripa","4"
"Tubutama","4"
"Huasabas","4"
"Trincheras","3"
"Rosario","3"
"Quiriego","3"
"Saric","2"
"La Colorada","2"
"Mazatan","2"
"Moctezuma","2"
"Aconchi","2"
"Arizpe","2"
"Atil","2"
"Bacanora","1"
"Baviacora","1"
"Cucurpe","1"
"Huepac","1"
"San Javier","1"
