"Municipio","Total"
"Hermosillo","28000"
"Cajeme","14008"
"San Luis Rio Colorado","9713"
"Nogales","9369"
"Navojoa","3793"
"Guaymas","2852"
"Agua Prieta","2467"
"Puerto Peñasco","2336"
"Caborca","1838"
"Huatabampo","1144"
"Etchojoa","1120"
"Empalme","972"
"Magdalena","438"
"Cananea","436"
"Bacum","374"
"Benito Juarez","276"
"Santa Ana","148"
"Imuris","130"
"San Miguel de Horcasitas","91"
"Alamos","85"
"San Ignacio Rio Muerto","84"
"Altar","61"
"Naco","58"
"Plutarco Elias Calles","57"
"Benjamin Hill","47"
"Pitiquito","40"
"Nacozari de Garcia","40"
"Fronteras","30"
"Ures","24"
"Rosario","20"
"Yecora","18"
"Carbo","12"
"Quiriego","9"
"Santa Cruz","7"
"Cumpas","7"
"Opodepe","6"
"La Colorada","5"
"Villa Pesqueira","4"
"Trincheras","4"
"Sahuaripa","4"
"Rayon","3"
"Tubutama","3"
"Saric","2"
"Nacori Chico","2"
"Cucurpe","2"
"Banamichi","2"
"Baviacora","2"
"Atil","1"
"Bacerac","1"
"Mazatan","1"
"Huachinera","1"
"Huasabas","1"
"Soyopa","1"
"San Javier","1"
