"Municipio","Total"
"Hermosillo","45525"
"Cajeme","15901"
"San Luis Rio Colorado","12114"
"Nogales","9593"
"Navojoa","3872"
"Guaymas","3744"
"Caborca","2402"
"Agua Prieta","2286"
"Puerto Peñasco","2195"
"Empalme","998"
"Etchojoa","808"
"Huatabampo","787"
"Magdalena","557"
"Bacum","529"
"Cananea","372"
"Benito Juarez","277"
"San Ignacio Rio Muerto","274"
"San Miguel de Horcasitas","166"
"Imuris","162"
"Santa Ana","122"
"Alamos","63"
"Benjamin Hill","55"
"Altar","50"
"Naco","43"
"Nacozari de Garcia","41"
"Carbo","28"
"Ures","25"
"Pitiquito","22"
"Cumpas","21"
"Fronteras","19"
"Yecora","16"
"Rosario","10"
"Bacoachi","6"
"Plutarco Elias Calles","5"
"Quiriego","5"
"Moctezuma","4"
"Aconchi","3"
"Baviacora","3"
"Sahuaripa","3"
"San Javier","2"
"Rayon","2"
"Santa Cruz","2"
"Saric","2"
"San Pedro de la Cueva","2"
"Opodepe","2"
"Tubutama","2"
"Villa Hidalgo","2"
"Arizpe","2"
"Mazatan","2"
"La Colorada","1"
"Nacori Chico","1"
"Onavas","1"
"Atil","1"
"Bacadehuachi","1"
"Banamichi","1"
"Villa Pesqueira","1"
"Soyopa","1"
"Trincheras","1"
