"Municipio","Total"
"Hermosillo","60085"
"Cajeme","23410"
"San Luis Rio Colorado","16896"
"Nogales","12161"
"Guaymas","5967"
"Navojoa","4402"
"Puerto Peñasco","3418"
"Caborca","3156"
"Agua Prieta","3046"
"Empalme","1643"
"Huatabampo","871"
"Etchojoa","865"
"Magdalena","696"
"Bacum","626"
"Cananea","547"
"Benito Juarez","410"
"Imuris","223"
"San Ignacio Rio Muerto","219"
"San Miguel de Horcasitas","217"
"Santa Ana","184"
"Altar","88"
"Alamos","76"
"Benjamin Hill","71"
"Naco","59"
"Nacozari de Garcia","59"
"Carbo","35"
"Ures","33"
"Pitiquito","24"
"Fronteras","22"
"Cumpas","15"
"Moctezuma","7"
"Yecora","7"
"Rosario","5"
"Sahuaripa","5"
"Baviacora","5"
"Arizpe","4"
"La Colorada","4"
"Quiriego","4"
"Villa Pesqueira","4"
"Santa Cruz","4"
"Tubutama","3"
"Mazatan","3"
"Atil","3"
"Aconchi","3"
"Banamichi","2"
"Arivechi","2"
"San Pedro de la Cueva","2"
"Plutarco Elias Calles","2"
"Rayon","1"
"Suaqui Grande","1"
"Trincheras","1"
"Bacadehuachi","1"
"Cucurpe","1"
"Onavas","1"
